planet_name,host_name,discovery_method,orbit_semi_major_axis,planet_radius,planet_mass,eccentricity,stellar_mass,distance,v_magnitude
LTT 1445 A c,LTT 1445 A,Transit,0.02661,1.147,1.54,0.223,0.257,6.86929,10.59
LTT 3780 b,LTT 3780,Transit,0.01195,1.325,2.46,0.0,0.381,21.9814,13.14
LTT 3780 c,LTT 3780,Transit,0.0757,2.39,8.04,0.024,0.381,21.9814,13.14
LTT 9779 b,LTT 9779,Transit,0.01679,4.72,29.32,0.0,0.77,80.4373,9.79
NGTS-11 b,NGTS-11,Transit,0.201,9.157753,109.33352,0.13,0.862,190.422,12.456
NGTS-20 b,NGTS-20,Transit,0.313,11.99360935,947.12865286,0.432,1.47,382.898,11.233
NGTS-27 b,NGTS-27,Transit,0.0446,15.64773706,188.47224535,0.0,1.07,942.122,13.523
NGTS-30 b,NGTS-30,Transit,0.408,10.40193409,305.11527072,0.294,0.94,238.377,12.537
NGTS-33 b,NGTS-33,Transit,0.048,18.38272835,1153.71711741,0.0,1.6,437.855,11.604
TIC 139270665 b,TIC 139270665,Transit,0.163,7.22979255,147.15455244,0.105,1.035,189.875,10.385
TIC 172900988 b,TIC 172900988 Aa,Transit,0.90281,11.25,942.0,0.0271,1.2384,250.956,10.141
TIC 237913194 b,TIC 237913194,Transit,0.1207,12.520453,617.22586,0.575,1.026,306.063,12.144
TIC 241249530 b,TIC 241249530,Transit,0.641,13.29385111,1582.78546686,0.9412,1.271,324.448,11.908
TIC 257060897 b,TIC 257060897,Transit,0.051,16.70138124,212.94503269,0.03,1.32,505.703,11.814
TIC 279401253 b,TIC 279401253,Transit,0.369,11.2089807,1951.46641898,0.448,1.13,285.584,11.938
TIC 365102760 b,TIC 365102760,Transit,0.0622,6.21,19.2,0.406,1.17,555.546,12.154
TIC 393818343 b,TIC 393818343,Transit,0.1291,12.18416202,1379.37528638,0.6058,1.082,93.7345,9.48
TIC 46432937 b,TIC 46432937,Transit,0.02065,13.31626907,1017.0509024,0.009,0.563,90.5369,14.268
TIC 4672985 b,TIC 4672985,Transit,0.33,11.5004142,4049.13390518,0.018,1.01,253.385,11.501
TOI-1052 b,TOI-1052,Transit,0.09103,2.87,16.9,0.18,1.204,129.804,9.511
TOI-1062 b,TOI-1062,Transit,0.052,2.265,10.15,0.177,0.94,82.1733,10.249
TOI-1064 b,TOI-1064,Transit,0.06152,2.587,13.5,0.047,0.748,68.0726,10.938
TOI-1064 c,TOI-1064,Transit,0.09429,2.651,2.5,0.088,0.748,68.0726,10.938
TOI-1075 b,TOI-1075,Transit,0.01159,1.791,9.95,0.0,0.604,61.4592,12.615
TOI-1107 b,TOI-1107,Transit,0.0561,14.57167491,1064.72516345,0.025,1.35,281.314,10.553
TOI-1130 b,TOI-1130,Transit,0.0453,3.66,19.8,0.052162,0.745,58.2609,11.595
TOI-1130 c,TOI-1130,Transit,0.0731,13.0,336.0,0.0398,0.745,58.2609,11.595
TOI-1173 b,TOI-1173,Transit,0.0696,9.19,27.4,0.023,0.911,132.353,11.038
TOI-1194 b,TOI-1194,Transit,0.034,8.71664516,120.0,0.0,0.9835,149.667,11.302
TOI-1199 b,TOI-1199,Transit,0.04988,10.5140239,75.96098927,0.03,1.23,248.427,11.093
TOI-1201 b,TOI-1201,Transit,0.0287,2.415,6.28,0.0,0.512,37.8871,12.26
TOI-1221 b,TOI-1221,Transit,0.387,2.91,1112.3994245,0.21,0.93,138.411,10.494
TOI-1231 b,TOI-1231,Transit,0.1288,3.65,15.4,0.087,0.485,27.6227,12.36
TOI-1246 c,TOI-1246,Transit,0.061,2.45109846,9.1,0.0,0.8889,169.422,11.632
TOI-1246 d,TOI-1246,Transit,0.132,3.43139739,5.4,0.0,0.8889,169.422,11.632
TOI-1246 e,TOI-1246,Transit,0.212,3.5141875,14.5,0.0,0.8889,169.422,11.632
TOI-1248 b,TOI-1248,Transit,0.051,6.8084859,27.4,0.0,0.9042,168.735,11.806
TOI-1249 b,TOI-1249,Transit,0.109,3.2710301,11.9,0.0,1.0062,139.49,11.089
TOI-125 b,TOI-125,Transit,0.05186,2.726,9.5,0.194,0.859,111.059,11.023
TOI-125 c,TOI-125,Transit,0.0814,2.759,6.63,0.066,0.859,111.059,11.023
TOI-125 d,TOI-125,Transit,0.137,2.93,13.6,0.168,0.859,111.059,11.023
TOI-1259 A b,TOI-1259 A,Transit,0.0407,11.45557828,140.16232749,0.0,0.744,118.106,12.079
TOI-1260 b,TOI-1260,Transit,0.0367,2.41,8.56,0.0,0.679,73.5977,11.922
TOI-1260 c,TOI-1260,Transit,0.0657,2.76,13.2,0.0,0.679,73.5977,11.922
