planet_name,host_name,discovery_method,orbit_semi_major_axis,planet_radius,planet_mass,eccentricity,stellar_mass,distance,v_magnitude
TOI-3362 b,TOI-3362,Transit,0.153,12.80065596,1598.3590588,0.815,1.445,366.987,10.86
TOI-3364 b,TOI-3364,Transit,0.0675,12.22899794,530.77343969,0.0,1.186,277.899,11.875
TOI-3568 b,TOI-3568,Transit,0.0485,5.3,26.4,0.035,0.78,197.906,12.879
TOI-3629 b,TOI-3629,Transit,0.043,8.29464572,82.63538582,0.05,0.63,130.091,14.639
TOI-3688 A b,TOI-3688 A,Transit,0.0456,13.08088048,311.47183886,0.0,1.199,396.378,12.241
TOI-3693 b,TOI-3693,Transit,0.0813,12.59889431,324.18497514,0.0,0.867,176.436,11.948
TOI-3714 b,TOI-3714,Transit,0.027,11.32107051,222.4798849,0.03,0.53,112.71,15.7
TOI-3757 b,TOI-3757,Transit,0.03845,12.0,85.3,0.14,0.64,181.139,14.812
TOI-3785 b,TOI-3785,Transit,0.043,5.14,14.95,0.11,0.52,79.7634,14.595
TOI-3807 b,TOI-3807,Transit,0.0421,18.49481816,330.54154328,0.0,1.181,421.745,11.856
TOI-3819 b,TOI-3819,Transit,0.04611,13.13692538,352.78953177,0.0,1.242,558.141,12.542
TOI-3837 b,TOI-3837,Transit,0.099,10.87271128,187.51876013,0.221,0.89,311.705,11.673
TOI-3884 b,TOI-3884,Transit,0.0361,6.43,32.59,0.06,0.298,43.1448,15.744
TOI-3894 b,TOI-3894,Transit,0.05354,15.27784069,260.61929374,0.05,1.138,417.365,11.992
TOI-3912 b,TOI-3912,Transit,0.0463,14.28024141,129.03833324,0.0,1.088,465.992,12.507
TOI-3919 b,TOI-3919,Transit,0.0795,12.31866979,1233.17421916,0.259,1.208,604.591,12.858
TOI-3976 A b,TOI-3976 A,Transit,0.0743,12.27383387,55.61997123,0.0,1.254,516.087,12.403
TOI-3984 A b,TOI-3984 A,Transit,0.041,7.9,44.0,0.23,0.49,108.883,15.694
TOI-4010 b,TOI-4010,Transit,0.0229,3.02,11.0,0.03,0.88,177.504,12.291
TOI-4010 c,TOI-4010,Transit,0.058,5.93,20.31,0.03,0.88,177.504,12.291
TOI-4010 d,TOI-4010,Transit,0.113,6.18,38.15,0.07,0.88,177.504,12.291
TOI-406 c,TOI-406,Transit,0.0322,1.32,2.08,0.032,0.408,31.0597,13.773
TOI-406.01,TOI-406,Transit,0.0809,2.08,6.57,0.056,0.408,31.0597,13.773
TOI-4087 b,TOI-4087,Transit,0.04469,13.04725353,232.01473711,0.0,1.178,301.676,12.107
TOI-4127 b,TOI-4127,Transit,0.3081,12.28504285,731.0053361,0.7471,1.23,319.632,11.441
TOI-4137 b,TOI-4137,Transit,0.05222,13.57407563,457.67290608,0.0,1.313,334.993,11.31
TOI-4145 A b,TOI-4145 A,Transit,0.04823,13.30506009,136.66621501,0.0,0.905,205.387,12.084
TOI-4153 b,TOI-4153,Transit,0.06311,16.11851425,365.50266805,0.039,1.572,423.84,11.601
TOI-4201 b,TOI-4201,Transit,0.04,13.67495645,788.21444936,0.041,0.61,189.011,15.163
TOI-421 b,TOI-421,Transit,0.0554,2.64,6.7,0.13,0.833,74.7969,9.931
TOI-421 c,TOI-421,Transit,0.117,5.09,14.1,0.19,0.833,74.7969,9.931
TOI-431 b,TOI-431,Transit,0.0113,1.28,3.07,0.0,0.78,32.5686,9.12
TOI-431 d,TOI-431,Transit,0.098,3.29,9.9,0.0,0.78,32.5686,9.12
TOI-4377 b,TOI-4377,Transit,0.0579,15.10970598,304.1617855,0.045,1.36,455.82,11.707
TOI-4406 b,TOI-4406,Transit,0.201,11.2089807,95.3485221,0.15,1.19,261.834,10.937
TOI-4438 b,TOI-4438,Transit,0.0534,2.52,5.4,0.14,0.368,30.0346,13.69
TOI-4463 A b,TOI-4463 A,Transit,0.04036,13.26022417,252.35575516,0.0,1.056,173.117,11.036
TOI-4504 c,TOI-4504,Transit,0.3569,11.09689089,1197.32317485,0.032,0.89,342.605,13.364
TOI-4515 b,TOI-4515,Transit,0.118,12.17,637.0,0.461,0.949,193.499,11.938
TOI-4551 b,TOI-4551,Transit,0.0994,11.85910158,473.56432643,0.101,1.31,215.986,9.973
TOI-4600 b,TOI-4600,Transit,0.349,6.8,959.84178914,0.25,0.89,216.056,12.577
TOI-4600 c,TOI-4600,Transit,1.152,9.42,2946.26933289,0.21,0.89,216.056,12.577
TOI-4603 b,TOI-4603,Transit,0.0888,11.67975789,4096.80816623,0.325,1.765,225.643,9.24
TOI-4633 c,TOI-4633,Transit,0.847,3.2,123.0,0.117,1.1,95.2016,9.017
TOI-4641 b,TOI-4641,Transit,0.173,8.18255591,1229.99593509,0.074,1.41,86.3501,7.51
TOI-4791 b,TOI-4791,Transit,0.0555,12.44196858,734.18362017,0.0,1.242,328.802,11.541
TOI-480 b,TOI-480,Transit,0.077,2.85372018,20.8,0.0,1.2793,54.5306,7.28
TOI-481 b,TOI-481,Transit,0.097,11.09691,486.2799,0.153,1.14,179.366,9.972
TOI-4860 b,TOI-4860,Transit,0.01808,8.7,86.7,0.008,0.34,80.1423,16.47
TOI-4914 b,TOI-4914,Transit,0.098,12.87,227.0,0.408,1.03,299.89,12.235
TOI-4994 b,TOI-4994,Transit,0.1515,8.54124329,88.99195396,0.319,1.005,329.304,12.652
TOI-500 b,TOI-500,Transit,0.01189,1.166,1.42,0.063,0.74,47.3924,10.54
TOI-5027 b,TOI-5027,Transit,0.093,10.76062147,642.01338214,0.385,1.02,204.429,11.566
TOI-5076 b,TOI-5076,Transit,0.1481,3.48935569,16.14568308,0.0,0.789,82.857,10.9
TOI-5110 b,TOI-5110,Transit,0.2157,11.98240037,921.7023803,0.745,1.469,392.259,11.06
TOI-5153 b,TOI-5153,Transit,0.158,11.88151954,1036.12060682,0.091,1.24,390.484,11.932
TOI-519 b,TOI-519,Transit,0.0159,11.54525012,147.15455244,0.33,0.335,115.557,17.35
TOI-5205 b,TOI-5205,Transit,0.0199,11.6,343.0,0.02,0.392,86.4493,15.899
TOI-5218 b,TOI-5218,Transit,0.0469,9.86,657.0,0.0,0.739,377.483,16.044
TOI-5232 b,TOI-5232,Transit,0.05593,12.778238,743.71847238,0.035,1.389,609.388,12.246
TOI-5293 A b,TOI-5293 A,Transit,0.034,11.9,170.4,0.38,0.54,162.229,16.19
TOI-530 b,TOI-530,Transit,0.052,9.30345398,127.1313628,0.0,0.53,148.762,15.403
TOI-5301 b,TOI-5301,Transit,0.073,13.09208946,1182.32167404,0.33,1.483,629.161,11.738
TOI-532 b,TOI-532,Transit,0.0296,5.82,61.5,0.0,0.639,135.047,14.413
TOI-5344 b,TOI-5344,Transit,0.04041,10.60369574,130.94530368,0.054,0.612,138.367,15.402
TOI-5398 b,TOI-5398,Transit,0.098,10.3,58.7,0.13,1.146,130.855,10.059
TOI-5398 c,TOI-5398,Transit,0.057,3.52,11.8,0.14,1.146,130.855,10.059
TOI-544 b,TOI-544,Transit,0.0225,2.018,2.89,0.0,0.631,41.1166,10.777
TOI-5542 b,TOI-5542,Transit,0.332,11.30986153,419.53349724,0.018,0.89,348.849,12.42
TOI-558 b,TOI-558,Transit,0.1291,12.17295304,1147.36054927,0.298,1.349,402.63,11.233
TOI-559 b,TOI-559,Transit,0.0723,12.22899794,1910.14872607,0.151,1.026,233.266,11.091
TOI-561 b,TOI-561,Transit,0.01064,1.397,2.02,0.0,0.806,85.799,10.252
TOI-561 c,TOI-561,Transit,0.0889,2.865,5.93,0.023,0.806,85.799,10.252
TOI-561 d,TOI-561,Transit,0.1587,2.615,13.33,0.111,0.806,85.799,10.252
TOI-561 e,TOI-561,Transit,0.33,2.517,12.4,0.074,0.806,85.799,10.252
TOI-5616 b,TOI-5616,Transit,0.0272,10.78,624.0,0.0,0.666,390.415,16.74
TOI-5634 A b,TOI-5634 A,Transit,0.0272,10.42,588.0,0.0,0.556,306.144,16.854
TOI-564 b,TOI-564,Transit,0.02734,11.43318,464.98529,0.072,0.998,199.581,11.097
TOI-5678 b,TOI-5678,Transit,0.249,4.91,20.0,0.14,0.905,165.393,11.438
TOI-5688 A b,TOI-5688 A,Transit,0.03379,10.3,124.0,0.128,0.6,226.318,15.78
TOI-6016 b,TOI-6016,Transit,0.055,13.67495645,371.85923619,0.0,1.31,364.715,11.886
TOI-6034 b,TOI-6034,Transit,0.02949,11.92,254.0,0.04,0.514,117.992,15.189
TOI-6130 b,TOI-6130,Transit,0.036,14.3474953,333.71982735,0.036,1.31,220.882,11.21
TOI-615 b,TOI-615,Transit,0.0678,18.97680433,138.25535705,0.39,1.449,360.408,10.825
TOI-622 b,TOI-622,Transit,0.0708,9.2362001,96.30200732,0.42,1.313,123.297,8.995
TOI-628 b,TOI-628,Transit,0.0486,11.88154,2011.8639,0.072,1.311,178.68,10.112
TOI-6383 A b,TOI-6383 A,Transit,0.02292,11.29,331.0,0.05,0.458,171.319,16.63
TOI-6628 b,TOI-6628,Transit,0.134,10.98480109,235.19302118,0.67,0.97,320.527,12.9
TOI-6651 b,TOI-6651,Transit,0.0633,5.09,61.0,0.091,1.323,212.128,10.242
TOI-669 b,TOI-669,Transit,0.048,2.58606487,10.0,0.0,0.9245,142.867,10.606
TOI-674 b,TOI-674,Transit,0.025,5.25,23.6,0.0,0.42,46.0851,14.203
TOI-677 b,TOI-677,Transit,0.1041,13.11450742,392.20025424,0.46,1.181,141.812,9.822
TOI-733 b,TOI-733,Transit,0.0618,1.992,5.72,0.046,0.956,75.2092,9.44
TOI-757 b,TOI-757,Transit,0.122,2.5,10.5,0.39,0.8,60.3418,9.743
TOI-762 A b,TOI-762 A,Transit,0.03418,8.33948164,79.77493016,0.083,0.442,98.4458,16.0
TOI-763 b,TOI-763,Transit,0.06,2.28,9.79,0.04,0.917,95.1274,10.265
TOI-763 c,TOI-763,Transit,0.1011,2.63,9.32,0.04,0.917,95.1274,10.265
TOI-776 b,TOI-776,Transit,0.0653,1.798,5.0,0.052,0.542,27.1701,11.536
TOI-776 c,TOI-776,Transit,0.1001,2.047,6.9,0.089,0.542,27.1701,11.536
TOI-778 b,TOI-778,Transit,0.06,15.4,878.0,0.21,1.4,161.743,9.109
TOI-782 b,TOI-782,Transit,0.0578,2.734,19.1,0.19,0.397,52.5122,14.83
TOI-784 b,HD 307842,Transit,0.038,1.93,9.67,0.0,0.91,64.5997,9.412
TOI-815 b,TOI-815,Transit,0.0903,2.94,7.6,0.2,0.776,59.7117,10.217
TOI-815 c,TOI-815,Transit,0.193,2.62,23.5,0.22,0.776,59.7117,10.217
TOI-836 b,TOI-836,Transit,0.0422,1.704,4.53,0.053,0.678,27.5024,9.92
TOI-836 c,TOI-836,Transit,0.075,2.587,9.6,0.078,0.678,27.5024,9.92
TOI-849 b,TOI-849,Transit,0.0155,3.64,41.8,0.0,0.97,225.734,11.981
TOI-858 B b,TOI-858 B,Transit,0.04435,14.06727078,349.6112477,0.15,1.081,250.489,11.183
TOI-892 b,TOI-892,Transit,0.092,11.99363,301.9385,0.125,1.28,340.543,11.43
TOI-905 b,TOI-905,Transit,0.04666,13.125739,211.99261,0.024,0.968,158.649,11.08
TOI-908 b,TOI-908,Transit,0.041657,3.186,16.137,0.132,0.95,175.748,11.316
TOI-954 b,TOI-954,Transit,0.04963,9.550068,55.30242,0.14,1.201,238.768,10.343
WASP-132 c,WASP-132,Transit,0.01833,1.841,6.26,0.0,0.789,122.91,11.938
WD 1856+534 b,WD 1856+534,Transit,0.0204,10.4,4386.054,0.0,0.518,24.7359,17.244
Wolf 327 b,Wolf 327,Transit,0.01,1.24,2.53,0.0,0.405,28.5321,13.018
pi Men c,HD 39091,Transit,0.068,2.11,4.3,0.0,1.07,18.2702,5.65
